nohup: ignoring input
2026-08-11 18:09:37.524417: I tensorflow/core/platform/cpu_feature_guard.cc:193] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2 AVX512F AVX512_VNNI FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2026-08-11 18:09:37.686078: I tensorflow/core/util/util.cc:169] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.
2026-08-11 18:09:37.720317: E tensorflow/stream_executor/cuda/cuda_blas.cc:2981] Unable to register cuBLAS factory: Attempting to register factory for plugin cuBLAS when one has already been registered
2026-08-11 18:09:38.372094: W tensorflow/stream_executor/platform/default/dso_loader.cc:64] Could not load dynamic library 'libnvinfer.so.7'; dlerror: libnvinfer.so.7: cannot open shared object file: No such file or directory; LD_LIBRARY_PATH: :/usr/local/cuda-11.2/lib64:/usr/local/cuda-11.2/lib64
2026-08-11 18:09:38.372189: W tensorflow/stream_executor/platform/default/dso_loader.cc:64] Could not load dynamic library 'libnvinfer_plugin.so.7'; dlerror: libnvinfer_plugin.so.7: cannot open shared object file: No such file or directory; LD_LIBRARY_PATH: :/usr/local/cuda-11.2/lib64:/usr/local/cuda-11.2/lib64
2026-08-11 18:09:38.372197: W tensorflow/compiler/tf2tensorrt/utils/py_utils.cc:38] TF-TRT Warning: Cannot dlopen some TensorRT libraries. If you would like to use Nvidia GPU with TensorRT, please make sure the missing libraries mentioned above are installed properly.
[RL Env] 데이터를 로드하고 R-Tree 인덱스를 구성합니다...
Index(['fwy', 'dir', 'sta_from', 'sta_to', 'mid_x', 'mid_y', 'x1', 'y1', 'x2',
       'y2', 'speed_pm_mph', 'vol_day_veh', 'cell_euclidean_mid',
       'cell_weighted_mid', 'ID', 'Lanes'],
      dtype='object')
[RL Env] 초기화 완료: 분기점 56개, 도로 선분 1831개
2026-08-11 18:09:39.581425: I tensorflow/core/platform/cpu_feature_guard.cc:193] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2 AVX512F AVX512_VNNI FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2026-08-11 18:09:40.173397: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1616] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 677 MB memory:  -> device: 0, name: NVIDIA RTX A6000, pci bus id: 0000:b5:00.0, compute capability: 8.6
2026-08-11 18:09:40.946541: I tensorflow/stream_executor/cuda/cuda_blas.cc:1614] TensorFloat-32 will be used for the matrix multiplication. This will only be logged once.

--- [학습 루프 테스트: 동적 도로 분할 연산 시뮬레이션] ---
[Test 1] 균등 가중치(유클리드) 적용 시 평균 표준편차: 0.12907310
학습 시작...
Episode 1, Reward: -56.85, Buffer Size: 1000
Episode 2, Reward: -65.38, Buffer Size: 2000
Episode 3, Reward: -59.18, Buffer Size: 3000
Episode 4, Reward: -61.06, Buffer Size: 4000
Episode 5, Reward: -60.86, Buffer Size: 5000
Episode 6, Reward: -45.50, Buffer Size: 6000
Episode 7, Reward: -51.87, Buffer Size: 7000
Episode 8, Reward: -58.58, Buffer Size: 8000
Episode 9, Reward: -57.69, Buffer Size: 9000
Episode 10, Reward: -62.52, Buffer Size: 10000
Episode 11, Reward: -63.33, Buffer Size: 11000
Episode 12, Reward: -62.79, Buffer Size: 12000
Episode 13, Reward: -63.70, Buffer Size: 13000
Episode 14, Reward: -61.63, Buffer Size: 14000
Episode 15, Reward: -59.07, Buffer Size: 15000
Episode 16, Reward: -67.57, Buffer Size: 16000
Episode 17, Reward: -63.35, Buffer Size: 17000
Episode 18, Reward: -69.61, Buffer Size: 18000
Episode 19, Reward: -70.07, Buffer Size: 19000
Episode 20, Reward: -67.94, Buffer Size: 20000
Episode 21, Reward: -66.73, Buffer Size: 21000
Episode 22, Reward: -62.04, Buffer Size: 22000
Episode 23, Reward: -62.55, Buffer Size: 23000
Episode 24, Reward: -61.86, Buffer Size: 24000
Episode 25, Reward: -66.41, Buffer Size: 25000
Episode 26, Reward: -65.81, Buffer Size: 26000
Episode 27, Reward: -60.70, Buffer Size: 27000
Episode 28, Reward: -65.10, Buffer Size: 28000
Episode 29, Reward: -58.07, Buffer Size: 29000
Episode 30, Reward: -62.64, Buffer Size: 30000
Episode 31, Reward: -63.50, Buffer Size: 31000
Episode 32, Reward: -63.95, Buffer Size: 32000
Episode 33, Reward: -63.61, Buffer Size: 33000
Episode 34, Reward: -64.70, Buffer Size: 34000
Episode 35, Reward: -60.40, Buffer Size: 35000
Episode 36, Reward: -60.97, Buffer Size: 36000
Episode 37, Reward: -66.60, Buffer Size: 37000
Episode 38, Reward: -65.74, Buffer Size: 38000
Episode 39, Reward: -63.12, Buffer Size: 39000
Episode 40, Reward: -60.10, Buffer Size: 40000
Episode 41, Reward: -52.93, Buffer Size: 41000
Episode 42, Reward: -58.80, Buffer Size: 42000
Episode 43, Reward: -58.40, Buffer Size: 43000
Episode 44, Reward: -56.19, Buffer Size: 44000
Episode 45, Reward: -56.53, Buffer Size: 45000
Episode 46, Reward: -59.68, Buffer Size: 46000
Episode 47, Reward: -57.62, Buffer Size: 47000
Episode 48, Reward: -64.78, Buffer Size: 48000
Episode 49, Reward: -60.88, Buffer Size: 49000
Episode 50, Reward: -65.36, Buffer Size: 50000
Episode 51, Reward: -60.00, Buffer Size: 51000
Episode 52, Reward: -55.33, Buffer Size: 52000
Episode 53, Reward: -58.69, Buffer Size: 53000
Episode 54, Reward: -62.92, Buffer Size: 54000
